,season,episode,character,line
208,6,1,Eric Cartman,There it goes.
209,6,1,Kyle Broflovski,"Alright, it's working!"
210,6,1,Eric Cartman,"[wipes away a bit of fat remaining on his lips] Aw man, it tastes like that, um, you know that cream-chipped-beef stuff that Chef makes sometimes."
211,6,1,Butters Stotch,"Aahh heh ahh, I don't feel very good."
212,6,1,Stan Marsh,"Shut up, Butters, it's your own damned fault."
213,6,1,Butters Stotch,Everything's getting dark...
214,6,1,Stan Marsh,We've gotta hurry this up. [moves behind the coffee table to Butter's belly and starts pounding on it. The fat begins flowing out faster]
215,6,1,Eric Cartman,"[looks at the fat flowing out] Oh yeah, keep doing that. That's working good."
216,6,1,Stan Marsh,He's losing weight. [Kyle smiles]
217,6,1,Eric Cartman,"Oh, whoa. Whoa! [the fat rushes out so quickly the tube begins to buck, splattering fat and blood all over the place]"
218,6,1,Kyle Broflovski,"It's out of control! [Stan has stopped pounding, but the fat is pulsing out and Cartman can't control it.. Butters gets thinner by the second and headed for shock]"
219,6,1,Butters Stotch,"Whoa, everything's getting sparkly. [the sound of a car pulling up is heard]"
220,6,1,Stan Marsh,"Oh no, dude, Butters' parents are home."
221,6,1,Eric Cartman,"Oh, crap!"
222,6,1,Stan Marsh,"Dude, bail! [the three boys rush out the back door, then the front door opens and Butter's parents walk in. The living room is a mess]"
223,6,1,Linda and Stephen Stotch,Butters? Butters?!
224,6,1,Butters Stotch,[listlessly] Mom. Dad.
225,6,1,Linda and Stephen Stotch,Butters. Are you having liposuction surgery? Tell me the truth!
226,6,1,Butters Stotch,Yes sir.
227,6,1,Linda and Stephen Stotch,This is unbelievable! How many times have we told you not to have self-perform liposuction surgery in our house?!
228,6,1,Butters Stotch,"Four times, mom."
229,6,1,Linda and Stephen Stotch,"Well, I guess that wasn't enough! You get up to your room right now, mister!"
230,6,1,Butters Stotch,"Yes, sir. [rises and... struggles. He falls off the coffee table to the floor. Stephen isn't fazed, but Linda is affected]"
231,6,1,Linda and Stephen Stotch,"Oh, huh- Don't you give us that look young man! You're gonna get it!"
232,6,1,Field Reporter,"Tom, I'm standing out in front of the Mayor's office, where the big liar, Jared, is once again about to speak. Apparently, Jared hopes to regain his celebrity hero status, which was lost when he announced that it was AIDS, not sub sandwiches, that caused him to lose weight. Let's listen in."
233,6,1,"Jared Vogle, Subway spokesman","Ladies and gentlemen, a-at first I didn't understand why you felt betrayed by the fact that my aides helped me to lose weight, but now I understand that it isn't fair that- I had aides and most of you don't. And so, with all the money I've made from commercials, I have decided to start the Aides for Everyone Foundation!"
234,6,1,Jimbo Kern,What?!
235,6,1,"Jared Vogle, Subway spokesman",I am going to personally see to it that each and every one of you gets aides! [a long silence follows as the audience just looks at Jared]
236,6,1,Mayor McDaniels,This guy's insane.
237,6,1,"Jared Vogle, Subway spokesman","But I won't stop there. I'm gonna seek out all the underprivileged and hungry children of the world, and I'm going to give them aides myself!"
238,6,1,Chef,You're gonna give children AIDS?!
239,6,1,"Jared Vogle, Subway spokesman","Yes, it is my hope that every beautiful child on this earth has aides by next month! Aides for everyone! [another long silence]"
240,6,1,Skeeter,Get him! [the crowd begins to move forward angrily and Jared leaved the podium]
241,6,1,Stan Marsh,"Come on, Butters. Time to go."
242,6,1,Butters Stotch,Uh- go where?
243,6,1,Kyle Broflovski,To City Wok so we can make our money. God!
244,6,1,Butters Stotch,"I can't go anywhere, fellas. I've been grounded for havin' liposuction... surgery. [lifts his shorts to show the bandage over the scar]"
245,6,1,Stan Marsh,What?
246,6,1,Butters Stotch,"Wuh well I told you my parents would be sore, and they said for... havin' liposuction surgery, I can't play outside for five days."
247,6,1,Eric Cartman,"Dude, we just need you to come down to City Wok real quick so they can see how skinny you are!"
248,6,1,Butters Stotch,"[counts off] Well you guys have already got me in Dutch for gettin' fat, and then I got in double-Dutch for... havin' liposuction, and now you're askin' me to be in triple Dutch?! [moves his hands palms down to wash his hands of any more trouble] Huh-uh! I'll never be that Dutch!"
249,6,1,Stan Marsh,...Kenny would have done it.
250,6,1,Kyle Broflovski,Yep.
251,6,1,Eric Cartman,"Do you guys remember what a cool friend Kenny was? [whispers] God. [normally] He was always up for helpin' us out; man, he was the best friend ever."
252,6,1,Butters Stotch,"Look, fellas, I can't do it! My mom and dad call in every hour from work to make sure I am here. If I don't answer the ph-phone, it'll know I'm- I'm up to no good!"
253,6,1,Eric Cartman,"Alright alright, I'll stay here and answer the phone for you."
254,6,1,Butters Stotch,No- but you don't sound like me.
255,6,1,Eric Cartman,"[begins sounding something like Butters. Kyle looks on] Well, you don't sound like me. My name is Butters and I'm a little pussy who won't help his friends make money."
256,6,1,Kyle Broflovski,"Wow, that was pretty good."
257,6,1,Stan Marsh,"Alright, it's settled.Come on, Butters. [pulls Butters out the door. Cartman enters the house]"
258,6,1,Eric Cartman,"Don't forget, a third of that four million dollars is mine! [the others leave and he closes the door]"
259,6,1,Eric Cartman,Eh. [makes himself comfortable on the sofa and turns on the TV. He grunts a bit] Eh. Yeah. [the phone rings; he answers] Well hello?
260,6,1,Linda and Stephen Stotch,"[at an office full of cubicles] I'm just checking in on you, Butters. [a woman walks down the aisle behind him] Heh- Do I hear the television? We told you no television while you're grounded!"
261,6,1,Eric Cartman,"Oh, gee whiz, I'm not.. uh watchin' television, Dad, I'm just... layin' around jackin' it."
262,6,1,Linda and Stephen Stotch,Jacking it? Jacking what?
263,6,1,Eric Cartman,"Well my hot spicy boner, of course, Dad."
264,6,1,Linda and Stephen Stotch,WHAT?! Are you trying to get yourself in more trouble with that kind of language?!
265,6,1,Eric Cartman,"Well ah, loosen up, you bloody vaginal belch."
266,6,1,Linda and Stephen Stotch,OH YOU'RE GONNA GET IT MISTER! Just Wait until I get home!
267,6,1,Eric Cartman,"Bring it on, queer bait. [hangs up] Aaaahhhh, yes! [puts his arms behind his head, quite satisfied with himself]"
268,6,1,"Jared Vogle, Subway spokesman","...I tell my [paf] girlfriend I have aides and she leaves, I tell the [paf] world to get aides and they think I'm crazy, I offer to give aides to kids and everyone wants me [paf] dead! [the camera pulls back and the thing Jared is beating is a dead horse. Literally] What's wrong with [paf] aides?! Why doesn't anyone want me to give them [paf] aides?! [the crowd arrives with torches, charging noisily]"
269,6,1,Herbert Garrison,"There he is, beatin' that dead horse!"
270,6,1,Man in Crowd,Alright!
271,6,1,Jimbo Kern,Let's get him! [the crowd charges forward and Jared runs away again]
272,6,1,"Jared Vogle, Subway spokesman",Aahhh!
273,6,1,Tuong Lu Kim,Welcome ta Shitty Wok. Take your order prease.
274,6,1,Kyle Broflovski,We have great news! Our friend has lost forty pounds eating your City Wok food. Here's the before and after photos.
275,6,1,Tuong Lu Kim,He lose weight eating Shitty Wok?
276,6,1,Stan Marsh,That's right! So now you can pay us to use him in your commercials and you'll have your very own Jared!
277,6,1,Tuong Lu Kim,"Oh no, no way! I not putting no Jared in my Shitty Wok commercial!"
278,6,1,Kyle Broflovski,"Uh, why not?"
