,season,episode,character,line
136,14,2,Matt Lauer,"All right, uh, yeah huh. Butters, my favorite part of your novel was when Scrotie McBoogerballs slid his head up into the horse's [jumps off his stool and tries to vomit into a pail nearby, but misses. He vomits agin and this time gets it into the pail, burps, and coughs a few times, getting the last of the vomit into the pail, and finally spits. He gets back on the stool] Sorry, I uh, was that chapter a slam on health care reform as people suggested?"
137,14,2,Butters Stotch,"Uh... yeah, pretty much, I think, think so."
138,14,2,Meredith Vieira,Is that why the doctor character pulls out all the strings? [begins to vomit immediately]
139,14,2,Al Roker,"Little boy, are you ever worried somebody might take your book wrong and try to kill someone, like when that guy tried to shoot Ronald Reagan after reading The Catcher in the Rye?"
140,14,2,Butters Stotch,"Oh, is that who the book was tellin' me to kill? Ohhh. [gets into a trance] Kill Ronald Reagan. [hops off his bed and heads for the door] Kill Ronald Reagan."
141,14,2,Al Roker,"Ronald Reagan is dead now, Butters."
142,14,2,Butters Stotch,"Oh really? [goes back to his bed] Oh yeah, gosh dangit."
143,14,2,Stan Marsh,"More and more of us are against this book every day! The author is cruel and offensive! And for these reasons, we demand this book be banned from all school, stores, and libraries! This book is nothing but smut and vulgarity purely for the sake of smut and vulgarity!"
144,14,2,Assemblyman 1,That's just because you're too young to understand the underlying themes.
145,14,2,Eric Cartman,There are no underlying themes! We know that for a fact!
146,14,2,Assemblyman 2,You just fail to understand what the author meant.
147,14,2,Kyle Broflovski,The author meant to be as gross as possible because it was funny!
148,14,2,Assemblyman 3,"[chuckles] No, no no, that's such a simplistic view."
149,14,2,Stan Marsh,Goddamnit there is no deeper meaning in this book! Read it again!
150,14,2,Assemblywoman 1,"Oh, so you're suggesting that the author just arbitrarily made fun of Sarah Jessica Parker for no reason?"
151,14,2,Kyle Broflovski,Yes!
152,14,2,Assemblywoman 1,But what would be the point?
153,14,2,Eric Cartman,There is no point! It's just because Sarah Jessica Parker is fuckin' ugly!
154,14,2,Assemblywoman 2,No writer would take the time to make fun of Sarah Jessica Parker just because they think she's ugly.
155,14,2,Stan Marsh,Yes they would!
156,14,2,Kyle Broflovski,Yes they would!
157,14,2,Eric Cartman,Yes they would!
158,14,2,Assemblywoman 2,It is because Miss Jessica Parker is a metaphor in the book for oppression felt by the lower class.
159,14,2,Stan Marsh,"What? Dude, that is not in the book at all!"
160,14,2,Assemblyman 2,"Boys, this book is an important look at how liberals are hurting this country."
161,14,2,Stan Marsh,What?
162,14,2,Assemblywoman 2,"Wait, Scrotie McBoogerballs is the most conservative-hating liberal in literature!"
163,14,2,Assemblyman 2,What book did you read?!
164,14,2,Stan Marsh,There's nothing about liberals or conservatives!
165,14,2,Assemblyman 4,"Ohohh yeah, then why did Sarah Jessica Parker's butt-cheese end up in Scrotie's milkshake? [an assemblyman nearby throws up]"
166,14,2,A Field Reporter,"Breaking news from acclaimed author Leopold Stotch. The artist has announced that he is working on a second novel as a followup to his wildly successful bestseller. We got a statement from the writer, who is still grounded in his room. [The reporter and Butters are yelling at each other to be heard.]"
167,14,2,A Field Reporter,Can you give the public any idea what the new book is about?
168,14,2,Butters Stotch,"Well, it's kind of about love and betrayal! The inner workings of the human mind!"
169,14,2,A Field Reporter,Will it be as sick and disgusting as your first book?
170,14,2,Butters Stotch,"Oh it's raunchy alright! I know what my readers want, and I'm going to deliver!"
171,14,2,Stephen Stotch,"Butters, away from the window! You are being grounded!"
172,14,2,Butters Stotch,"Sorry Dad, I was just bein' the voice of a generation. [walks out of view]"
173,14,2,Stan Marsh,I can't believe they won't ban our book!
174,14,2,Kyle Broflovski,I know! It's so much worse than Catcher in the retarded Rye!
175,14,2,Kenny McCormick,(It's fucking disgusting!)
176,14,2,Eric Cartman,"All right you guys, I know what we have to do. [stands up and walks onto the street] We've got to kill Sarah Jessica Parker."
177,14,2,Kyle Broflovski,What?! [Stan's hands go from his chin to his knees]
178,14,2,Eric Cartman,"Think about it, guys. If somebody kills Sarah Jessica Parker, then they'll assume that somebody did it because of what was in the book. Then the book will get banned."
179,14,2,Kyle Broflovski,"Dude, we're not killing Sarah Jessica Parker! [Sarah Jessica Parker hears her name and looks at the boys]"
180,14,2,Eric Cartman,"Shhh. [addresses Ms. Parker] Be right with you. [hushed tones to the other boys] We don't have to kill her, we can just help her get killed."
181,14,2,Stan Marsh,"Shut up, Cartman! Just face it. We lost this one. [he and Kyle walk away]"
